Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
381.56,25.7,239476,44.1,1010.7,21.4,173.0,166.0
381.86,25.7,238305,44.1,1010.7,21.4,164.0,164.0
382.16,25.7,237807,44.1,1010.7,21.5,168.0,163.0
382.46,25.7,239308,44.1,1010.7,21.4,164.0,164.0
382.76,25.7,237642,44.1,1010.7,21.5,172.0,165.0
383.06,25.7,237642,44.1,1010.7,21.4,165.0,162.0
383.359,25.7,237311,44.1,1010.7,21.4,168.0,164.0
383.659,25.7,239308,44.1,1010.7,21.4,145.0,142.0
383.959,25.7,238305,44.1,1010.7,21.4,176.0,174.0
384.259,25.7,237476,44.1,1010.7,21.5,178.0,175.0
384.559,25.7,238305,44.1,1010.7,21.5,183.0,174.0
384.859,25.7,240319,44.1,1010.7,21.5,183.0,174.0
385.159,25.7,237642,44.1,1010.7,21.5,183.0,174.0
385.459,25.7,239644,44.1,1010.7,21.4,179.0,174.0
385.759,25.7,238973,44.1,1010.7,21.4,176.0,174.0
386.059,25.7,239308,44.1,1010.7,21.4,130.0,129.0
386.359,25.7,238472,44.1,1010.7,21.4,163.0,158.0
386.659,25.7,239140,44.1,1010.7,21.4,171.0,165.0
386.959,25.7,239476,44.1,1010.7,21.4,171.0,165.0
387.259,25.7,239644,44.1,1010.7,21.5,170.0,164.0
387.558,25.6,239812,44.1,1010.7,21.5,162.0,159.0
387.858,25.6,239812,44.1,1010.7,21.5,163.0,163.0
388.158,25.6,239308,44.1,1010.7,21.5,170.0,166.0
388.458,25.6,238973,44.1,1010.7,21.4,164.0,159.0
388.758,25.6,239140,44.1,1010.7,21.4,162.0,159.0
389.058,25.6,239812,44.1,1010.7,21.5,167.0,161.0
389.358,25.6,239644,44.1,1010.7,21.5,167.0,164.0
389.658,25.6,239981,44.1,1010.7,21.5,169.0,164.0
389.958,25.6,239812,44.1,1010.7,21.5,179.0,174.0
390.258,25.6,240319,44.1,1010.7,21.5,181.0,172.0
390.558,25.6,240319,44.1,1010.7,21.5,180.0,172.0
390.858,25.6,239981,44.1,1010.7,21.5,179.0,172.0
391.158,25.6,240658,44.1,1010.7,21.5,176.0,171.0
391.458,25.6,241168,44.1,1010.7,21.5,179.0,172.0
391.757,25.6,241338,44.1,1010.7,21.5,178.0,172.0
392.057,25.6,240827,44.1,1010.7,21.5,177.0,171.0
392.357,25.6,240827,44.1,1010.7,21.5,179.0,171.0
392.657,25.6,241509,44.1,1010.7,21.5,179.0,171.0
392.957,25.6,241338,44.1,1010.7,21.5,176.0,174.0
393.257,25.6,240997,44.0,1010.7,21.5,177.0,174.0
393.557,25.6,241338,44.0,1010.7,21.5,178.0,174.0
393.857,25.6,241851,44.1,1010.7,21.5,179.0,173.0
394.157,25.6,239981,44.1,1010.7,21.5,177.0,175.0
394.457,25.6,240150,44.1,1010.7,21.5,181.0,173.0
394.757,25.6,239981,44.1,1010.7,21.6,177.0,175.0
395.057,25.6,239981,44.1,1010.7,21.6,177.0,175.0
395.357,25.6,239644,44.1,1010.7,21.5,179.0,174.0
395.656,25.6,240488,44.1,1010.7,21.5,179.0,174.0
395.956,25.6,240488,44.1,1010.7,21.5,177.0,175.0
396.256,25.6,239981,44.1,1010.7,21.5,177.0,175.0
396.556,25.6,239981,44.1,1010.7,21.5,177.0,175.0
396.856,25.6,241338,44.1,1010.7,21.5,177.0,175.0
397.156,25.6,239476,44.1,1010.7,21.5,179.0,174.0
397.456,25.6,239476,44.1,1010.7,21.6,177.0,175.0
397.756,25.6,239812,44.1,1010.7,21.6,179.0,174.0
398.056,25.6,239476,44.1,1010.7,21.5,179.0,172.0
398.356,25.6,239476,44.2,1010.7,21.6,178.0,171.0
398.656,25.6,239644,44.2,1010.7,21.5,181.0,173.0
398.956,25.6,239812,44.2,1010.7,21.5,180.0,173.0
399.256,25.6,240150,44.2,1010.7,21.5,177.0,174.0
399.556,25.6,239644,44.2,1010.7,21.6,180.0,172.0
399.855,25.6,240658,44.2,1010.7,21.6,179.0,172.0
400.155,25.6,240488,44.2,1010.7,21.6,179.0,172.0
400.455,25.6,238139,44.2,1010.7,21.6,179.0,172.0
400.755,25.6,240150,44.2,1010.7,21.6,179.0,172.0
401.055,25.6,238472,44.2,1010.7,21.6,181.0,172.0
401.355,25.6,239476,44.2,1010.7,21.6,180.0,172.0
401.655,25.6,239140,44.2,1010.7,21.6,179.0,173.0
401.955,25.6,242711,44.2,1010.7,21.6,180.0,173.0
402.255,25.6,238805,44.2,1010.7,21.6,176.0,174.0
402.555,25.6,238973,44.2,1010.7,21.6,180.0,173.0
402.855,25.6,238638,44.2,1010.7,21.6,177.0,175.0
403.155,25.6,239308,44.2,1010.7,21.6,179.0,174.0
403.455,25.6,238305,44.2,1010.7,21.6,177.0,175.0
403.755,25.6,239812,44.2,1010.7,21.6,180.0,174.0
404.054,25.6,237311,44.2,1010.7,21.7,178.0,175.0
404.354,25.6,238638,44.2,1010.7,21.6,180.0,174.0
404.654,25.6,237146,44.2,1010.7,21.6,180.0,174.0
404.954,25.6,237642,44.2,1010.7,21.6,182.0,173.0
405.254,25.6,237973,44.2,1010.7,21.6,178.0,175.0
405.554,25.6,238472,44.2,1010.7,21.6,180.0,174.0
405.854,25.6,237973,44.2,1010.7,21.6,180.0,174.0
406.154,25.6,237973,44.2,1010.7,21.5,180.0,174.0
406.454,25.6,237973,44.2,1010.7,21.6,178.0,175.0
406.754,25.6,238472,44.2,1010.7,21.7,178.0,175.0
407.054,25.6,238805,44.2,1010.7,21.6,182.0,173.0
407.354,25.6,238638,44.2,1010.7,21.6,182.0,173.0
407.654,25.6,237476,44.2,1010.7,21.6,178.0,175.0
407.954,25.6,237311,44.2,1010.7,21.6,180.0,174.0
408.253,25.6,237973,44.2,1010.7,21.6,180.0,174.0
408.553,25.6,237311,44.2,1010.7,21.6,178.0,175.0
408.853,25.6,237476,44.2,1010.7,21.6,178.0,175.0
409.153,25.6,237973,44.2,1010.7,21.6,181.0,175.0
409.453,25.6,237476,44.2,1010.7,21.5,178.0,175.0
409.753,25.6,238973,44.2,1010.7,21.6,180.0,174.0
410.053,25.6,237311,44.2,1010.7,21.5,182.0,174.0
410.353,25.6,236489,44.2,1010.7,21.6,180.0,174.0
410.653,25.6,236817,44.2,1010.7,21.6,178.0,175.0
410.953,25.6,236489,44.2,1010.7,21.6,180.0,174.0
411.253,25.6,236817,44.2,1010.7,21.6,178.0,175.0
411.553,25.6,236653,44.2,1010.7,21.6,180.0,174.0
411.853,25.6,236489,44.2,1010.7,21.5,180.0,174.0
412.152,25.6,236162,44.2,1010.7,21.6,180.0,174.0
412.452,25.6,237311,44.2,1010.7,21.6,180.0,174.0
412.752,25.7,236325,44.2,1010.7,21.6,178.0,175.0
413.052,25.7,236489,44.2,1010.7,21.6,183.0,174.0
413.352,25.7,235673,44.2,1010.7,21.6,178.0,175.0
413.652,25.7,236489,44.3,1010.7,21.6,180.0,174.0
413.952,25.7,235999,44.2,1010.7,21.6,181.0,175.0
414.252,25.7,236489,44.2,1010.7,21.6,183.0,174.0
414.552,25.7,235999,44.2,1010.7,21.6,180.0,174.0
414.852,25.7,237973,44.2,1010.6,21.7,178.0,175.0
415.152,25.7,234700,44.2,1010.7,21.6,180.0,175.0
415.452,25.7,235673,44.2,1010.7,21.7,182.0,173.0
415.752,25.7,236489,44.2,1010.7,21.6,183.0,174.0
416.051,25.7,235186,44.2,1010.7,21.6,183.0,174.0
416.351,25.7,235024,44.2,1010.7,21.6,178.0,175.0
416.651,25.7,235024,44.2,1010.6,21.7,180.0,174.0
416.951,25.7,234700,44.2,1010.7,21.7,181.0,175.0
417.251,25.7,234700,44.2,1010.7,21.7,183.0,174.0
417.551,25.7,234057,44.2,1010.6,21.8,183.0,174.0
417.851,25.7,234378,44.2,1010.6,21.7,181.0,175.0
418.151,25.7,234539,44.2,1010.6,21.7,183.0,174.0
418.451,25.7,234700,44.2,1010.6,21.7,183.0,174.0
418.751,25.7,234862,44.2,1010.6,21.7,181.0,175.0
419.051,25.7,235348,44.2,1010.6,21.7,181.0,175.0
419.351,25.7,235186,44.2,1010.6,21.7,183.0,174.0
419.651,25.7,235673,44.2,1010.7,21.7,183.0,174.0
419.951,25.7,235673,44.2,1010.7,21.7,181.0,175.0
420.25,25.7,235835,44.2,1010.6,21.7,181.0,175.0
420.55,25.7,235835,44.1,1010.6,21.7,185.0,173.0
420.85,25.7,235999,44.2,1010.6,21.8,181.0,175.0
421.15,25.7,236162,44.1,1010.6,21.7,183.0,174.0
421.45,25.7,236325,44.1,1010.6,21.8,181.0,175.0
421.75,25.7,237311,44.1,1010.6,21.7,181.0,175.0
422.05,25.7,236325,44.1,1010.6,21.7,183.0,174.0
422.35,25.7,236162,44.1,1010.6,21.7,183.0,174.0
422.65,25.7,236817,44.1,1010.7,21.7,181.0,175.0
422.95,25.7,237146,44.1,1010.7,21.6,183.0,174.0
423.25,25.7,237311,44.1,1010.6,21.7,181.0,175.0
423.55,25.7,237311,44.1,1010.6,21.8,185.0,173.0
423.85,25.7,237973,44.1,1010.6,21.7,185.0,173.0
424.15,25.7,237642,44.1,1010.6,21.7,185.0,173.0
424.449,25.7,238139,44.1,1010.6,21.7,181.0,175.0
424.749,25.7,239140,44.0,1010.6,21.7,183.0,174.0
425.049,25.7,236325,44.0,1010.7,21.6,181.0,175.0
425.349,25.7,237476,44.0,1010.7,21.6,181.0,175.0
425.649,25.7,237476,44.0,1010.7,21.6,183.0,174.0
425.949,25.7,236982,44.0,1010.6,21.7,183.0,174.0
426.249,25.7,236489,44.0,1010.6,21.7,185.0,173.0
426.549,25.7,236489,44.0,1010.6,21.7,183.0,174.0
426.849,25.7,236325,44.0,1010.6,21.8,183.0,174.0
427.149,25.7,237146,44.0,1010.6,21.8,181.0,175.0
427.449,25.7,236489,44.0,1010.6,21.8,181.0,175.0
427.749,25.7,236489,44.0,1010.6,21.8,181.0,175.0
428.049,25.7,235999,44.0,1010.6,21.8,183.0,174.0
428.348,25.7,236817,44.0,1010.6,21.9,181.0,175.0
428.648,25.7,237476,44.0,1010.6,21.8,181.0,175.0
428.948,25.7,236489,44.0,1010.6,21.8,183.0,174.0
429.248,25.7,236489,44.0,1010.6,21.8,183.0,174.0
429.548,25.7,235673,44.0,1010.6,21.7,183.0,174.0
429.848,25.7,236817,44.0,1010.6,21.7,185.0,173.0
430.148,25.7,236325,44.0,1010.6,21.7,181.0,175.0
430.448,25.7,236325,44.0,1010.6,21.8,183.0,174.0
430.748,25.7,235348,44.0,1010.6,21.8,181.0,175.0
431.048,25.7,235186,44.0,1010.6,21.8,183.0,174.0
431.348,25.7,234862,44.0,1010.6,21.8,181.0,175.0
431.648,25.7,234378,44.0,1010.6,21.7,181.0,175.0
431.948,25.7,235348,44.0,1010.6,21.8,183.0,174.0
432.248,25.7,236653,44.0,1010.6,21.8,185.0,173.0
432.547,25.7,235186,44.0,1010.6,21.8,181.0,175.0
432.847,25.7,235835,44.0,1010.6,21.8,183.0,174.0
433.147,25.7,239644,44.0,1010.6,21.7,185.0,173.0
433.447,25.7,235673,44.0,1010.6,21.8,185.0,173.0
433.747,25.7,236489,44.0,1010.6,21.7,185.0,173.0
434.047,25.7,237476,44.0,1010.6,21.7,184.0,173.0
434.347,25.7,237311,44.0,1010.6,21.8,183.0,174.0
434.647,25.7,235510,44.0,1010.6,21.8,181.0,175.0
434.947,25.7,236817,44.0,1010.6,21.7,183.0,174.0
435.247,25.7,234700,44.0,1010.6,21.7,181.0,175.0
435.547,25.7,235348,44.0,1010.6,21.8,183.0,174.0
435.847,25.7,238139,44.0,1010.6,21.7,181.0,175.0
436.147,25.7,235510,44.0,1010.6,21.7,185.0,173.0
436.447,25.7,235348,44.0,1010.6,21.8,183.0,174.0
436.746,25.7,235348,44.0,1010.6,21.8,181.0,175.0
437.046,25.7,237311,44.0,1010.6,21.8,183.0,174.0
437.346,25.7,236325,44.0,1010.6,21.8,183.0,174.0
437.646,25.7,236325,44.0,1010.6,21.8,183.0,174.0
437.946,25.7,234539,44.0,1010.6,21.9,180.0,175.0
438.246,25.7,235348,44.0,1010.6,22.0,180.0,174.0
438.546,25.7,235024,44.0,1010.6,21.9,178.0,175.0
438.846,25.7,235024,44.0,1010.6,22.0,183.0,174.0
439.146,25.7,235186,44.0,1010.6,22.0,183.0,174.0
439.446,25.7,235186,44.0,1010.6,21.9,181.0,175.0
439.746,25.7,234700,44.0,1010.6,21.9,183.0,174.0
440.046,25.7,235348,44.0,1010.6,21.9,183.0,174.0
440.346,25.7,234539,44.0,1010.6,21.9,183.0,174.0
440.646,25.7,236162,44.0,1010.6,21.9,180.0,174.0
440.945,25.7,234700,44.0,1010.6,21.8,178.0,175.0
441.245,25.7,234700,44.0,1010.6,21.8,183.0,174.0
441.545,25.7,235348,44.0,1010.6,21.8,178.0,175.0
441.845,25.7,235024,44.0,1010.6,21.9,179.0,175.0
442.145,25.7,233736,44.0,1010.6,21.8,183.0,174.0
442.445,25.7,235510,44.0,1010.6,21.8,180.0,174.0
442.745,25.7,235510,44.0,1010.6,21.8,183.0,174.0
443.045,25.7,235024,44.0,1010.6,21.9,183.0,174.0
443.345,25.7,234700,44.0,1010.6,21.9,181.0,175.0
443.645,25.7,234700,44.0,1010.6,21.8,181.0,175.0
443.945,25.7,234862,44.0,1010.6,21.8,181.0,175.0
444.245,25.7,235835,44.0,1010.6,21.8,183.0,174.0
444.545,25.7,235348,44.0,1010.6,21.8,181.0,175.0
444.844,25.7,236653,43.9,1010.6,21.8,181.0,175.0
445.144,25.7,234539,44.0,1010.6,21.7,181.0,175.0
445.444,25.7,234217,44.0,1010.6,21.7,183.0,174.0
445.744,25.7,235835,43.9,1010.6,21.8,181.0,175.0
446.044,25.7,236162,44.0,1010.6,21.8,181.0,175.0
446.344,25.7,234700,44.0,1010.6,21.8,180.0,174.0
446.644,25.7,235999,44.0,1010.6,21.8,183.0,174.0
446.944,25.7,235024,43.9,1010.6,21.8,185.0,173.0
447.244,25.7,234700,44.0,1010.6,21.8,180.0,174.0
447.544,25.7,234539,44.0,1010.6,21.8,181.0,175.0
447.844,25.7,233896,43.9,1010.6,21.7,181.0,175.0
448.144,25.7,234057,44.0,1010.6,21.8,181.0,175.0
448.444,25.7,234378,44.0,1010.6,21.7,180.0,175.0
448.744,25.8,234862,44.0,1010.6,21.7,183.0,174.0
449.043,25.8,236325,44.0,1010.6,21.7,178.0,175.0
449.343,25.8,234700,44.0,1010.6,21.8,181.0,175.0
449.643,25.8,234700,44.0,1010.6,21.7,180.0,174.0
449.943,25.8,234700,44.0,1010.6,21.7,183.0,174.0
450.243,25.8,234378,44.0,1010.6,21.8,180.0,174.0
450.543,25.8,234378,43.9,1010.6,21.8,178.0,175.0
450.843,25.8,234378,44.0,1010.6,21.8,182.0,174.0
451.143,25.8,235348,44.0,1010.6,21.8,183.0,174.0
451.443,25.8,232304,43.9,1010.6,21.8,181.0,175.0
451.743,25.8,234217,43.9,1010.6,21.7,183.0,174.0
452.043,25.8,232146,44.0,1010.6,21.8,181.0,175.0
452.343,25.8,231989,43.9,1010.6,21.8,181.0,175.0
452.643,25.8,232780,44.0,1010.6,21.8,183.0,174.0
452.943,25.8,232938,43.9,1010.6,21.8,181.0,175.0
453.242,25.8,232463,43.9,1010.6,21.8,183.0,174.0
